timestamp,building_id,source_building_id,energy
2016-01-01 00:00:00,B001,Robin_office_Gayle,20.648000000000003
2016-01-01 00:00:00,B002,Robin_education_Megan,91.2653
2016-01-01 00:00:00,B003,Robin_education_Kiera,23.3036
2016-01-01 01:00:00,B001,Robin_office_Gayle,41.2959
2016-01-01 01:00:00,B002,Robin_education_Megan,182.5306
2016-01-01 01:00:00,B003,Robin_education_Kiera,45.6071
2016-01-01 02:00:00,B001,Robin_office_Gayle,41.2959
2016-01-01 02:00:00,B002,Robin_education_Megan,182.5306
2016-01-01 02:00:00,B003,Robin_education_Kiera,45.6071
2016-01-01 03:00:00,B001,Robin_office_Gayle,41.2959
2016-01-01 03:00:00,B002,Robin_education_Megan,182.5306
2016-01-01 03:00:00,B003,Robin_education_Kiera,45.1071
2016-01-01 04:00:00,B001,Robin_office_Gayle,41.2959
2016-01-01 04:00:00,B002,Robin_education_Megan,182.5306
2016-01-01 04:00:00,B003,Robin_education_Kiera,45.6071
2016-01-01 05:00:00,B001,Robin_office_Gayle,41.2959
2016-01-01 05:00:00,B002,Robin_education_Megan,182.5306
2016-01-01 05:00:00,B003,Robin_education_Kiera,45.1071
2016-01-01 06:00:00,B001,Robin_office_Gayle,41.2959
2016-01-01 06:00:00,B002,Robin_education_Megan,182.5306
2016-01-01 06:00:00,B003,Robin_education_Kiera,45.1071
2016-01-01 07:00:00,B001,Robin_office_Gayle,41.2959
2016-01-01 07:00:00,B002,Robin_education_Megan,182.5306
2016-01-01 07:00:00,B003,Robin_education_Kiera,43.6071
2016-01-01 08:00:00,B001,Robin_office_Gayle,41.2959
2016-01-01 08:00:00,B002,Robin_education_Megan,182.5306
2016-01-01 08:00:00,B003,Robin_education_Kiera,46.1071
2016-01-01 09:00:00,B001,Robin_office_Gayle,41.2959
2016-01-01 09:00:00,B002,Robin_education_Megan,182.5306
2016-01-01 09:00:00,B003,Robin_education_Kiera,47.6071
2016-01-01 10:00:00,B001,Robin_office_Gayle,41.2959
2016-01-01 10:00:00,B002,Robin_education_Megan,182.5306
2016-01-01 10:00:00,B003,Robin_education_Kiera,47.6071
2016-01-01 11:00:00,B001,Robin_office_Gayle,41.2959
2016-01-01 11:00:00,B002,Robin_education_Megan,182.5306
2016-01-01 11:00:00,B003,Robin_education_Kiera,48.1071
2016-01-01 12:00:00,B001,Robin_office_Gayle,41.2959
2016-01-01 12:00:00,B002,Robin_education_Megan,182.5306
2016-01-01 12:00:00,B003,Robin_education_Kiera,48.6071
2016-01-01 13:00:00,B001,Robin_office_Gayle,41.2959
2016-01-01 13:00:00,B002,Robin_education_Megan,182.5306
2016-01-01 13:00:00,B003,Robin_education_Kiera,48.1071
2016-01-01 14:00:00,B001,Robin_office_Gayle,41.2959
2016-01-01 14:00:00,B002,Robin_education_Megan,182.5306
2016-01-01 14:00:00,B003,Robin_education_Kiera,48.6071
2016-01-01 15:00:00,B001,Robin_office_Gayle,41.2959
2016-01-01 15:00:00,B002,Robin_education_Megan,182.5306
2016-01-01 15:00:00,B003,Robin_education_Kiera,49.1071
2016-01-01 16:00:00,B001,Robin_office_Gayle,41.2959
2016-01-01 16:00:00,B002,Robin_education_Megan,182.5306
2016-01-01 16:00:00,B003,Robin_education_Kiera,49.1071
2016-01-01 17:00:00,B001,Robin_office_Gayle,41.2959
2016-01-01 17:00:00,B002,Robin_education_Megan,182.5306
2016-01-01 17:00:00,B003,Robin_education_Kiera,49.1071
2016-01-01 18:00:00,B001,Robin_office_Gayle,41.2959
2016-01-01 18:00:00,B002,Robin_education_Megan,182.5306
2016-01-01 18:00:00,B003,Robin_education_Kiera,48.1071
2016-01-01 19:00:00,B001,Robin_office_Gayle,41.2959
2016-01-01 19:00:00,B002,Robin_education_Megan,182.5306
2016-01-01 19:00:00,B003,Robin_education_Kiera,47.6071
2016-01-01 20:00:00,B001,Robin_office_Gayle,41.2959
2016-01-01 20:00:00,B002,Robin_education_Megan,182.5306
2016-01-01 20:00:00,B003,Robin_education_Kiera,48.6071
2016-01-01 21:00:00,B001,Robin_office_Gayle,41.2959
2016-01-01 21:00:00,B002,Robin_education_Megan,182.5306
2016-01-01 21:00:00,B003,Robin_education_Kiera,46.6071
2016-01-01 22:00:00,B001,Robin_office_Gayle,41.2959
2016-01-01 22:00:00,B002,Robin_education_Megan,182.5306
2016-01-01 22:00:00,B003,Robin_education_Kiera,45.6071
2016-01-01 23:00:00,B001,Robin_office_Gayle,41.2959
2016-01-01 23:00:00,B002,Robin_education_Megan,182.5306
2016-01-01 23:00:00,B003,Robin_education_Kiera,45.1071
2016-01-02 00:00:00,B001,Robin_office_Gayle,39.148
2016-01-02 00:00:00,B002,Robin_education_Megan,173.2653
2016-01-02 00:00:00,B003,Robin_education_Kiera,37.9286
