timestamp,building_id,hvac_power_kw
2016-01-01 00:00:00,B001,51.26
2016-01-01 01:00:00,B001,53.92
2016-01-01 02:00:00,B001,51.35
2016-01-01 03:00:00,B001,69.29
2016-01-01 04:00:00,B001,63.16
2016-01-01 05:00:00,B001,59.34
2016-01-01 06:00:00,B001,64.11
2016-01-01 07:00:00,B001,67.04
2016-01-01 08:00:00,B001,85.37
2016-01-01 09:00:00,B001,83.16
2016-01-01 10:00:00,B001,89.84
2016-01-01 11:00:00,B001,82.5
2016-01-01 12:00:00,B001,79.77
2016-01-01 13:00:00,B001,58.85
2016-01-01 14:00:00,B001,60.95
2016-01-01 15:00:00,B001,55.09
2016-01-01 16:00:00,B001,59.95
2016-01-01 17:00:00,B001,53.96
2016-01-01 18:00:00,B001,44.52
2016-01-01 19:00:00,B001,30.84
2016-01-01 20:00:00,B001,44.02
2016-01-01 21:00:00,B001,35.17
2016-01-01 22:00:00,B001,41.55
2016-01-01 23:00:00,B001,41.05
2016-01-02 00:00:00,B001,49.22
2016-01-02 01:00:00,B001,45.14
2016-01-02 02:00:00,B001,37.35
2016-01-02 03:00:00,B001,39.21
2016-01-02 04:00:00,B001,34.72
2016-01-02 05:00:00,B001,43.71
2016-01-02 06:00:00,B001,43.44
2016-01-02 07:00:00,B001,34.24
2016-01-02 08:00:00,B001,30.25
2016-01-02 09:00:00,B001,35.41
2016-01-02 10:00:00,B001,38.12
2016-01-02 11:00:00,B001,36.98
2016-01-02 12:00:00,B001,28.8
2016-01-02 13:00:00,B001,31.28
2016-01-02 14:00:00,B001,35.35
2016-01-02 15:00:00,B001,34.36
2016-01-02 16:00:00,B001,43.72
2016-01-02 17:00:00,B001,48.0
2016-01-02 18:00:00,B001,35.14
2016-01-02 19:00:00,B001,42.03
2016-01-02 20:00:00,B001,32.67
2016-01-02 21:00:00,B001,31.27
2016-01-02 22:00:00,B001,32.93
2016-01-02 23:00:00,B001,43.04
2016-01-03 00:00:00,B001,35.03
2016-01-03 01:00:00,B001,33.73
2016-01-03 02:00:00,B001,34.25
2016-01-03 03:00:00,B001,43.28
2016-01-03 04:00:00,B001,43.33
2016-01-03 05:00:00,B001,50.93
2016-01-03 06:00:00,B001,48.52
2016-01-03 07:00:00,B001,48.57
2016-01-03 08:00:00,B001,47.47
2016-01-03 09:00:00,B001,42.45
2016-01-03 10:00:00,B001,43.17
2016-01-03 11:00:00,B001,46.82
2016-01-03 12:00:00,B001,35.66
2016-01-03 13:00:00,B001,48.67
2016-01-03 14:00:00,B001,41.89
2016-01-03 15:00:00,B001,48.46
2016-01-03 16:00:00,B001,34.75
2016-01-03 17:00:00,B001,35.04
2016-01-03 18:00:00,B001,40.63
2016-01-03 19:00:00,B001,41.72
2016-01-03 20:00:00,B001,41.69
2016-01-03 21:00:00,B001,37.59
2016-01-03 22:00:00,B001,44.62
2016-01-03 23:00:00,B001,49.73
2016-01-04 00:00:00,B001,42.64
2016-01-04 01:00:00,B001,50.73
2016-01-04 02:00:00,B001,46.01
2016-01-04 03:00:00,B001,53.51
2016-01-04 04:00:00,B001,46.49
2016-01-04 05:00:00,B001,43.7
2016-01-04 06:00:00,B001,49.6
2016-01-04 07:00:00,B001,42.87
