timestamp,event_severity,action,original_predicted_load,estimated_reduction_kw,reduction_percent,new_predicted_load,battery_soc_percent,ev_load_kw,hvac_load_kw
2017-08-11 16:00:00,ELEVATED,HVAC_SETPOINT_ADJUSTMENT,550.87,19.28,3.5,531.59,80.0,33.86,128.52
2017-08-11 16:00:00,ELEVATED,EV_CHARGING_SHIFT,550.87,27.09,4.92,523.78,80.0,33.86,128.52
2017-08-11 16:00:00,ELEVATED,BATTERY_DISCHARGE,550.87,25.0,4.54,525.87,80.0,33.86,128.52
2017-08-11 16:00:00,ELEVATED,COMBINED_ACTION,550.87,71.37,12.96,479.5,80.0,33.86,128.52
2017-08-14 15:00:00,ELEVATED,HVAC_SETPOINT_ADJUSTMENT,551.23,20.91,3.79,530.32,80.0,50.64,139.39
2017-08-14 15:00:00,ELEVATED,EV_CHARGING_SHIFT,551.23,40.51,7.35,510.72,80.0,50.64,139.39
2017-08-14 15:00:00,ELEVATED,BATTERY_DISCHARGE,551.23,25.0,4.54,526.23,80.0,50.64,139.39
2017-08-14 15:00:00,ELEVATED,COMBINED_ACTION,551.23,86.42,15.68,464.81,80.0,50.64,139.39
2017-08-14 16:00:00,ELEVATED,HVAC_SETPOINT_ADJUSTMENT,563.08,19.55,3.47,543.52,80.0,37.61,130.36
2017-08-14 16:00:00,ELEVATED,EV_CHARGING_SHIFT,563.08,30.09,5.34,532.99,80.0,37.61,130.36
2017-08-14 16:00:00,ELEVATED,BATTERY_DISCHARGE,563.08,25.0,4.44,538.08,80.0,37.61,130.36
2017-08-14 16:00:00,ELEVATED,COMBINED_ACTION,563.08,74.64,13.26,488.44,80.0,37.61,130.36
2017-08-15 15:00:00,ELEVATED,HVAC_SETPOINT_ADJUSTMENT,551.12,19.19,3.48,531.93,80.0,51.36,127.91
2017-08-15 15:00:00,ELEVATED,EV_CHARGING_SHIFT,551.12,41.09,7.46,510.03,80.0,51.36,127.91
2017-08-15 15:00:00,ELEVATED,BATTERY_DISCHARGE,551.12,25.0,4.54,526.12,80.0,51.36,127.91
2017-08-15 15:00:00,ELEVATED,COMBINED_ACTION,551.12,85.27,15.47,465.84,80.0,51.36,127.91
2017-08-15 16:00:00,ELEVATED,HVAC_SETPOINT_ADJUSTMENT,564.9,17.44,3.09,547.46,80.0,0.0,116.25
2017-08-15 16:00:00,ELEVATED,EV_CHARGING_SHIFT,564.9,0.0,0.0,564.9,80.0,0.0,116.25
2017-08-15 16:00:00,ELEVATED,BATTERY_DISCHARGE,564.9,25.0,4.43,539.9,80.0,0.0,116.25
2017-08-15 16:00:00,ELEVATED,COMBINED_ACTION,564.9,42.44,7.51,522.46,80.0,0.0,116.25
2017-08-16 13:00:00,ELEVATED,HVAC_SETPOINT_ADJUSTMENT,557.54,17.9,3.21,539.63,80.0,50.76,119.34
2017-08-16 13:00:00,ELEVATED,EV_CHARGING_SHIFT,557.54,40.61,7.28,516.93,80.0,50.76,119.34
2017-08-16 13:00:00,ELEVATED,BATTERY_DISCHARGE,557.54,25.0,4.48,532.54,80.0,50.76,119.34
2017-08-16 13:00:00,ELEVATED,COMBINED_ACTION,557.54,83.51,14.98,474.03,80.0,50.76,119.34
2017-08-16 15:00:00,ELEVATED,HVAC_SETPOINT_ADJUSTMENT,566.84,19.2,3.39,547.64,80.0,0.0,128.0
2017-08-16 15:00:00,ELEVATED,EV_CHARGING_SHIFT,566.84,0.0,0.0,566.84,80.0,0.0,128.0
2017-08-16 15:00:00,ELEVATED,BATTERY_DISCHARGE,566.84,25.0,4.41,541.84,80.0,0.0,128.0
2017-08-16 15:00:00,ELEVATED,COMBINED_ACTION,566.84,44.2,7.8,522.64,80.0,0.0,128.0
2017-08-16 16:00:00,HIGH,HVAC_SETPOINT_ADJUSTMENT,589.22,22.6,3.83,566.62,80.0,0.0,150.64
2017-08-16 16:00:00,HIGH,EV_CHARGING_SHIFT,589.22,0.0,0.0,589.22,80.0,0.0,150.64
2017-08-16 16:00:00,HIGH,BATTERY_DISCHARGE,589.22,25.0,4.24,564.22,80.0,0.0,150.64
2017-08-16 16:00:00,HIGH,COMBINED_ACTION,589.22,47.6,8.08,541.62,80.0,0.0,150.64
2017-08-17 13:00:00,ELEVATED,HVAC_SETPOINT_ADJUSTMENT,558.7,18.85,3.37,539.85,80.0,0.0,125.68
2017-08-17 13:00:00,ELEVATED,EV_CHARGING_SHIFT,558.7,0.0,0.0,558.7,80.0,0.0,125.68
2017-08-17 13:00:00,ELEVATED,BATTERY_DISCHARGE,558.7,25.0,4.47,533.7,80.0,0.0,125.68
2017-08-17 13:00:00,ELEVATED,COMBINED_ACTION,558.7,43.85,7.85,514.85,80.0,0.0,125.68
2017-08-17 14:00:00,ELEVATED,HVAC_SETPOINT_ADJUSTMENT,561.84,22.94,4.08,538.9,80.0,0.0,152.91
2017-08-17 14:00:00,ELEVATED,EV_CHARGING_SHIFT,561.84,0.0,0.0,561.84,80.0,0.0,152.91
2017-08-17 14:00:00,ELEVATED,BATTERY_DISCHARGE,561.84,25.0,4.45,536.84,80.0,0.0,152.91
2017-08-17 14:00:00,ELEVATED,COMBINED_ACTION,561.84,47.94,8.53,513.9,80.0,0.0,152.91
2017-08-17 15:00:00,ELEVATED,HVAC_SETPOINT_ADJUSTMENT,572.85,23.07,4.03,549.78,80.0,0.0,153.83
2017-08-17 15:00:00,ELEVATED,EV_CHARGING_SHIFT,572.85,0.0,0.0,572.85,80.0,0.0,153.83
2017-08-17 15:00:00,ELEVATED,BATTERY_DISCHARGE,572.85,25.0,4.36,547.85,80.0,0.0,153.83
2017-08-17 15:00:00,ELEVATED,COMBINED_ACTION,572.85,48.07,8.39,524.78,80.0,0.0,153.83
2017-08-17 16:00:00,ELEVATED,HVAC_SETPOINT_ADJUSTMENT,559.21,17.58,3.14,541.63,80.0,49.78,117.19
2017-08-17 16:00:00,ELEVATED,EV_CHARGING_SHIFT,559.21,39.82,7.12,519.39,80.0,49.78,117.19
2017-08-17 16:00:00,ELEVATED,BATTERY_DISCHARGE,559.21,25.0,4.47,534.21,80.0,49.78,117.19
2017-08-17 16:00:00,ELEVATED,COMBINED_ACTION,559.21,82.4,14.74,476.81,80.0,49.78,117.19
2017-08-17 17:00:00,ELEVATED,HVAC_SETPOINT_ADJUSTMENT,552.84,14.06,2.54,538.78,77.5,0.0,93.75
2017-08-17 17:00:00,ELEVATED,EV_CHARGING_SHIFT,552.84,0.0,0.0,552.84,77.5,0.0,93.75
2017-08-17 17:00:00,ELEVATED,BATTERY_DISCHARGE,552.84,25.0,4.52,527.84,77.5,0.0,93.75
2017-08-17 17:00:00,ELEVATED,COMBINED_ACTION,552.84,39.06,7.07,513.78,77.5,0.0,93.75
2017-08-18 13:00:00,ELEVATED,HVAC_SETPOINT_ADJUSTMENT,551.48,22.85,4.14,528.62,80.0,0.0,152.36
2017-08-18 13:00:00,ELEVATED,EV_CHARGING_SHIFT,551.48,0.0,0.0,551.48,80.0,0.0,152.36
2017-08-18 13:00:00,ELEVATED,BATTERY_DISCHARGE,551.48,25.0,4.53,526.48,80.0,0.0,152.36
2017-08-18 13:00:00,ELEVATED,COMBINED_ACTION,551.48,47.85,8.68,503.62,80.0,0.0,152.36
2017-08-22 16:00:00,ELEVATED,HVAC_SETPOINT_ADJUSTMENT,553.23,21.63,3.91,531.6,80.0,26.27,144.2
2017-08-22 16:00:00,ELEVATED,EV_CHARGING_SHIFT,553.23,21.02,3.8,532.21,80.0,26.27,144.2
2017-08-22 16:00:00,ELEVATED,BATTERY_DISCHARGE,553.23,25.0,4.52,528.23,80.0,26.27,144.2
2017-08-22 16:00:00,ELEVATED,COMBINED_ACTION,553.23,67.65,12.23,485.58,80.0,26.27,144.2
2017-08-24 15:00:00,ELEVATED,HVAC_SETPOINT_ADJUSTMENT,561.48,15.39,2.74,546.1,80.0,0.0,102.58
2017-08-24 15:00:00,ELEVATED,EV_CHARGING_SHIFT,561.48,0.0,0.0,561.48,80.0,0.0,102.58
2017-08-24 15:00:00,ELEVATED,BATTERY_DISCHARGE,561.48,25.0,4.45,536.48,80.0,0.0,102.58
2017-08-24 15:00:00,ELEVATED,COMBINED_ACTION,561.48,40.39,7.19,521.1,80.0,0.0,102.58
2017-08-24 16:00:00,ELEVATED,HVAC_SETPOINT_ADJUSTMENT,555.87,22.5,4.05,533.37,80.0,0.0,150.03
