timestamp,building_id,source_building_id,energy,temperature_c,relative_humidity_percent,cloud_cover_percent,shortwave_radiation_w_m2,wind_speed_kmh,precipitation_mm,solar_generation_kw,occupancy_percent,hvac_power_kw,ev_charging_power_kw,battery_state_of_charge_percent,battery_power_kw,grid_status,grid_stress_level,grid_import_limit_kw,hour,day_of_week,month,day_of_year,is_weekend,hour_sin,hour_cos,day_sin,day_cos,energy_lag_1,energy_lag_24,energy_lag_168,energy_rolling_24_mean,energy_rolling_168_mean
2016-01-08 00:00:00,B001,Robin_office_Gayle,58.3025,3.3,72,0,0.0,16.6,0.0,0.0,8.77,59.38,0.0,0.0,0.0,NORMAL,0.311,850.0,0,4,1,8,0,0.0,1.0,-0.433883739117558,-0.9009688679024191,58.3025,58.3025,20.648000000000003,58.3025,48.11826488095238
2016-01-08 01:00:00,B001,Robin_office_Gayle,58.3025,2.8,77,1,0.0,15.7,0.0,0.0,6.23,53.22,0.0,0.0,0.0,NORMAL,0.379,850.0,1,4,1,8,0,0.25881904510252074,0.9659258262890683,-0.433883739117558,-0.9009688679024191,58.3025,58.3025,41.2959,58.3025,48.34239880952381
2016-01-08 02:00:00,B001,Robin_office_Gayle,58.3025,2.4,81,1,0.0,16.6,0.0,0.0,5.55,61.17,0.0,0.0,0.0,NORMAL,0.367,850.0,2,4,1,8,0,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,58.3025,58.3025,41.2959,58.3025,48.44362857142857
2016-01-08 03:00:00,B001,Robin_office_Gayle,58.3025,2.2,84,1,0.0,15.2,0.0,0.0,5.92,61.26,0.0,0.0,0.0,NORMAL,0.212,850.0,3,4,1,8,0,0.7071067811865476,0.7071067811865476,-0.433883739117558,-0.9009688679024191,58.3025,58.3025,41.2959,58.3025,48.54485833333333
2016-01-08 04:00:00,B001,Robin_office_Gayle,58.3025,2.0,85,1,0.0,13.8,0.0,0.0,9.61,51.37,0.0,0.0,0.0,NORMAL,0.236,850.0,4,4,1,8,0,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,58.3025,58.3025,41.2959,58.3025,48.6460880952381
2016-01-08 05:00:00,B001,Robin_office_Gayle,58.3025,1.7,87,0,0.0,12.8,0.0,0.0,11.71,58.08,0.0,0.0,0.0,NORMAL,0.219,850.0,5,4,1,8,0,0.9659258262890683,0.25881904510252074,-0.433883739117558,-0.9009688679024191,58.3025,58.3025,41.2959,58.3025,48.74731785714285
2016-01-08 06:00:00,B001,Robin_office_Gayle,58.3025,1.5,88,6,0.0,12.2,0.0,0.0,11.38,54.41,0.0,0.0,0.0,NORMAL,0.279,850.0,6,4,1,8,0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,58.3025,58.3025,41.2959,58.3025,48.84854761904762
2016-01-08 07:00:00,B001,Robin_office_Gayle,58.3025,1.5,88,13,0.0,12.1,0.0,0.0,14.14,58.54,0.0,0.0,0.0,NORMAL,0.167,850.0,7,4,1,8,0,0.9659258262890683,-0.25881904510252063,-0.433883739117558,-0.9009688679024191,58.3025,58.3025,41.2959,58.3025,48.94977738095239
2016-01-08 08:00:00,B001,Robin_office_Gayle,58.3025,1.9,90,10,0.0,13.3,0.0,0.0,72.2,92.8,0.0,0.0,0.0,NORMAL,0.458,850.0,8,4,1,8,0,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,58.3025,58.3025,41.2959,58.3025,49.051007142857145
2016-01-08 09:00:00,B001,Robin_office_Gayle,58.3025,2.4,90,13,0.0,14.9,0.0,0.0,93.8,89.92,30.51,0.0,0.0,ELEVATED,0.627,850.0,9,4,1,8,0,0.7071067811865476,-0.7071067811865475,-0.433883739117558,-0.9009688679024191,58.3025,58.3025,41.2959,58.3025,49.1522369047619
